ticker,type,data_points,daily_return_fractal_dimension,daily_return_std_dev,daily_return_kurtosis,daily_return_ki_resonance_score,daily_return_fundamental_freq,volatility_fractal_dimension,volatility_std_dev,volatility_kurtosis,volatility_ki_resonance_score,volatility_fundamental_freq,normalized_volume_fractal_dimension,normalized_volume_std_dev,normalized_volume_kurtosis,normalized_volume_ki_resonance_score,normalized_volume_fundamental_freq,zscore_daily_return_fractal_dimension,zscore_daily_return_std_dev,zscore_daily_return_kurtosis,zscore_daily_return_fundamental_freq,zscore_volatility_fractal_dimension,zscore_volatility_std_dev,zscore_volatility_kurtosis,zscore_volatility_fundamental_freq,zscore_normalized_volume_fractal_dimension,zscore_normalized_volume_std_dev,zscore_normalized_volume_kurtosis,zscore_normalized_volume_fundamental_freq
bdd.us,ETFs,2092,0.277367,0.037448,9.682838,0.732070,0.229077,0.323274,0.283840,9.697733,0.788614,0.002868,0.431233,1.464898,52.837142,0.760770,0.006692,0.035545,-0.011026,-0.137486,-0.344421,-0.258441,-0.012312,-0.351513,-0.204343,0.049654,0.101552,-0.532232,-0.242517
bfor.us,ETFs,1118,0.161695,0.008996,4.422893,0.000000,0.169203,0.321066,0.178851,30.202963,0.000000,0.003578,0.436750,1.025572,168.861409,1.080380,0.008945,-0.015340,-0.015021,-0.158566,-0.778721,-0.270615,-0.012312,-0.257503,-0.188769,0.103131,-0.435598,0.324127,-0.196402
bib.us,ETFs,1872,0.144021,0.030660,5.408517,0.705109,0.187600,0.403806,1.471357,22.673813,0.000000,0.002137,0.550819,1.252262,389.986448,0.000000,0.004274,-0.023115,-0.011979,-0.154616,-0.645277,0.185572,-0.012307,-0.292022,-0.220390,1.208838,-0.158431,1.956219,-0.292036
bick.us,ETFs,1745,0.147035,0.014910,6.114786,0.859357,0.198968,0.633369,0.338330,765.477846,0.000000,0.002292,0.592099,3.195516,275.144307,0.000000,0.006877,-0.021789,-0.014191,-0.151785,-0.562820,1.451262,-0.012312,3.113488,-0.216978,1.608982,2.217522,1.108586,-0.238737
bil.us,ETFs,2634,0.088319,0.000435,37.433891,0.737486,0.394227,0.520292,0.160113,1532.788153,0.000000,0.004176,0.380120,1.496002,43.164944,0.000000,0.003417,-0.047618,-0.016224,-0.026274,0.853511,0.827813,-0.012312,6.631351,-0.175640,-0.445794,0.139582,-0.603621,-0.309575
bis.us,ETFs,1812,0.146681,0.030883,5.001388,0.000000,0.408614,0.482932,13.383323,83.818556,0.000000,0.004415,0.327317,1.421565,19.760024,0.537258,0.009382,-0.021944,-0.011948,-0.156247,0.957868,0.621830,-0.012253,-0.011694,-0.170398,-0.957630,0.048571,-0.776369,-0.187447
biv.us,ETFs,2669,0.140112,0.003889,15.379699,0.891407,0.339955,0.479930,0.260664,167.004140,0.000000,0.001124,0.419864,0.858176,145.270830,0.000000,0.005245,-0.024834,-0.015739,-0.114656,0.459844,0.605281,-0.012312,0.369685,-0.242612,-0.060548,-0.640267,0.150008,-0.272138
bizd.us,ETFs,1194,0.156855,0.008148,6.208773,0.862322,0.107293,0.386415,0.102119,142.728270,0.000000,0.004188,0.354811,1.122009,51.760274,0.000000,0.016750,-0.017469,-0.015140,-0.151409,-1.227796,0.089685,-0.012313,0.258388,-0.175388,-0.691126,-0.317687,-0.540180,-0.036585
bjk.us,ETFs,2446,0.307517,0.018658,16.674809,0.861388,0.359509,0.423036,0.344512,47.788315,0.000000,0.000818,0.650819,2.561189,275.797824,0.830664,0.006950,0.048808,-0.013665,-0.109466,0.601682,0.291598,-0.012312,-0.176880,-0.249335,2.178171,1.441951,1.113409,-0.237235
bkf.us,ETFs,2514,0.270092,0.020523,15.219013,1.689632,0.073617,0.440993,0.539712,83.399112,0.502269,0.005171,0.554384,1.586435,303.567134,0.793350,0.003182,0.032344,-0.013403,-0.115300,-1.472064,0.390598,-0.012311,-0.013617,-0.153809,1.243391,0.250151,1.318370,-0.314380
bkln.us,ETFs,1684,0.387684,0.002521,43.512655,0.916915,0.023767,0.355691,0.056711,40.682235,0.000000,0.001188,0.417523,0.940235,96.755897,0.000000,0.001188,0.084073,-0.015931,-0.001913,-1.833656,-0.079712,-0.012313,-0.209459,-0.241216,-0.083242,-0.539936,-0.208074,-0.355216
blv.us,ETFs,2669,0.215718,0.006825,5.205853,0.000000,0.166042,0.289896,0.276488,11.437472,0.000000,0.001124,0.520231,1.507434,191.696729,0.854788,0.004121,0.008425,-0.015326,-0.155428,-0.801651,-0.442468,-0.012312,-0.343537,-0.242612,0.912337,0.153560,0.492671,-0.295151
bnd.us,ETFs,2669,0.288513,0.002976,28.548033,0.805096,0.494378,0.512153,0.218450,138.220492,0.000000,0.001124,0.492884,0.866098,278.580049,0.000000,0.006369,0.040448,-0.015867,-0.061884,1.579964,0.782939,-0.012312,0.237721,-0.242612,0.647253,-0.630582,1.133944,-0.249125
bndx.us,ETFs,1118,0.165277,0.001934,5.482548,0.000000,0.494181,0.458996,0.114802,247.889095,0.000000,0.002683,0.395314,1.147983,128.458823,0.654358,0.008945,-0.013764,-0.016013,-0.154319,1.578535,0.489860,-0.012313,0.740515,-0.208396,-0.298517,-0.285930,0.025921,-0.196402
