--- 🔬 STARTING SIMULATION & DATA DUMP ---
Frame, P1_m, P1_l, P2_m, P2_l, P3_m, P3_l
232, -1.32811, 4.40435, -2.08313, -2.71203, 2.67936, -2.64248
233, -0.19305, 4.48596, -2.55669, -2.05271, 1.75520, -3.17589
234, 0.95351, 4.26017, -2.85166, -1.26157, 0.70488, -3.47517
235, 2.03073, 3.73577, -2.94178, -0.39094, -0.40295, -3.51533
236, 2.96232, 2.94261, -2.81497, 0.50091, -1.49457, -3.28933
237, 3.68167, 1.92988, -2.47449, 1.35387, -2.49658, -2.80876
238, 4.13619, 0.76283, -1.93898, 2.11005, -3.34096, -2.10360
239, 4.29122, -0.48174, -1.24138, 2.71770, -3.96955, -1.22072
240, 4.13296, -1.72046, -0.42689, 3.13491, -4.33803, -0.22079
241, 3.66987, -2.86853, 0.44984, 3.33271, -4.41958, 0.82635
242, 2.93217, -3.84583, 1.32843, 3.29723, -4.20706, 1.84658
243, 1.96945, -4.58336, 2.14730, 3.03084, -3.71357, 2.76620
244, 0.84777, -5.02784, 2.84808, 2.55214, -2.97151, 3.51695
245, -0.35412, -5.14489, 3.37954, 1.89473, -2.03050, 4.04113
246, -1.55028, -4.92208, 3.70097, 1.10491, -0.95401, 4.29593
247, -2.65407, -4.37034, 3.78524, 0.23852, 0.18423, 4.25671
248, -3.58474, -3.52305, 3.62102, -0.64289, 1.30498, 3.91901
249, -4.27296, -2.43411, 3.21403, -1.47600, 2.32964, 3.29932
250, -4.66486, -1.17544, 2.58699, -2.19999, 3.18621, 2.43431
251, -4.72636, 0.16819, 1.77806, -2.76126, 3.81387, 1.37856
252, -4.44669, 1.50597, 0.83829, -3.11766, 4.16695, 0.20070
253, -3.83939, 2.74666, -0.17145, -3.24145, 4.21851, -1.02126
254, -2.94122, 3.80421, -1.18434, -3.12090, 3.96284, -2.20467
255, -1.80961, 4.60407, -2.13244, -2.76123, 3.41619, -3.26743
256, -0.51894, 5.08895, -2.95153, -2.18463, 2.61528, -4.13460
257, 0.84321, 5.22291, -3.58529, -1.42947, 1.61464, -4.74434
258, 2.18203, 4.99409, -3.98899, -0.54800, 0.48378, -5.05145
259, 3.40371, 4.41584, -4.13304, 0.39778, -0.69688, -5.03023
260, 4.42140, 3.52606, -4.00569, 1.34073, -1.84205, -4.67720
261, 5.16005, 2.38499, -3.61383, 2.21290, -2.86820, -4.01165
262, 5.56242, 1.07125, -2.98243, 2.94982, -3.70004, -3.07398
263, 5.59387, -0.32402, -2.15282, 3.49519, -4.27500, -1.92396
264, 5.24484, -1.70385, -1.17993, 3.80520, -4.54683, -0.63780
265, 4.53244, -2.97066, -0.12933, 3.85188, -4.49007, 0.69824
266, 3.49980, -4.03234, 0.92661, 3.62539, -4.10289, 1.99436
267, 2.21201, -4.81131, 1.91434, 3.13511, -3.40702, 3.16226
268, 0.75230, -5.24984, 2.76508, 2.40937, -2.44607, 4.12083
269, -0.78173, -5.31243, 3.41935, 1.49367, -1.28241, 4.80253
270, -2.28517, -4.98962, 3.83058, 0.44750, 0.00614, 5.15841
271, -3.65435, -4.29927, 3.96855, -0.65980, 1.33050, 5.16164
272, -4.79472, -3.28459, 3.82205, -1.75328, 2.59750, 4.80961
273, -5.62563, -2.01300, 3.40007, -2.75699, 3.71752, 4.12439
274, -6.08556, -0.57224, 2.73099, -3.59976, 4.60940, 3.15154
275, -6.13854, 0.93789, 1.86034, -4.22110, 5.20564, 1.95729
276, -5.77670, 2.41182, 0.84828, -4.57509, 5.45812, 0.62398
277, -5.02030, 3.74378, -0.23384, -4.63302, 5.34193, -0.75615
278, -3.91745, 4.83599, -1.30840, -4.38582, 4.85737, -2.08705
279, -2.54116, 5.60627, -2.29758, -3.84517, 4.03098, -3.27403
280, -0.98312, 5.99422, -3.12927, -3.04271, 2.91351, -4.23103
281, 0.65128, 5.96533, -3.74180, -2.02857, 1.57584, -4.88850
282, 2.24896, 5.51367, -4.08759, -0.86890, 0.10550, -5.19718
283, 3.69902, 4.66291, -4.13708, 0.35908, -1.39843, -5.13107
284, 4.89991, 3.46517, -3.88175, 1.57303, -2.83292, -4.69055
285, 5.76521, 1.99799, -3.33484, 2.69061, -4.09897, -3.90222
286, 6.23106, 0.35919, -2.53034, 3.63476, -5.10829, -2.81731
287, 6.26095, -1.34034, -1.52070, 4.33933, -5.78813, -1.50968
288, 5.84835, -2.98417, -0.37370, 4.75401, -6.08716, -0.07020
289, 5.01817, -4.45659, 0.83149, 4.84800, -5.98027, 1.40060
290, 3.82492, -5.65185, 2.00989, 4.61240, -5.47007, 2.79843
291, 2.34840, -6.48296, 3.07753, 4.06108, -4.58683, 4.02187
292, 0.68979, -6.88607, 3.95702, 3.23002, -3.38733, 4.98020
293, -1.03513, -6.82566, 4.58246, 2.17502, -1.95069, 5.60026
294, -2.70449, -6.29850, 4.90431, 0.96803, -0.37268, 5.83178
