PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_runner.py --basin-json basin_structure.json

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

=== Sand Humanoid Runner ===
Ep 0196 | Return:     77.6 | Loss: -39631792.000 | DR: 0.951 | Γ: 1.714 | π: 0.471
Ep 0197 | Return:     82.9 | Loss: -30294548.000 | DR: 0.925 | Γ: 1.735 | π: 0.472
Ep 0198 | Return:    106.5 | Loss: -54850904.000 | DR: 0.943 | Γ: 1.703 | π: 0.472
Ep 0199 | Return:     92.9 | Loss: -48270136.000 | DR: 0.931 | Γ: 1.762 | π: 0.471
Ep 0200 | Return:     87.2 | Loss: -43417660.000 | DR: 0.958 | Γ: 1.671 | π: 0.470
Ep 0201 | Return:     90.1 | Loss: -49138008.000 | DR: 0.945 | Γ: 1.826 | π: 0.466
Ep 0202 | Return:    102.8 | Loss: -56545492.000 | DR: 0.932 | Γ: 1.708 | π: 0.471
Ep 0203 | Return:    103.6 | Loss: -56782012.000 | DR: 0.939 | Γ: 1.700 | π: 0.471
Ep 0204 | Return:     88.0 | Loss: -45423696.000 | DR: 0.933 | Γ: 1.775 | π: 0.465
Ep 0205 | Return:     91.8 | Loss: -50694280.000 | DR: 0.919 | Γ: 1.686 | π: 0.477
Ep 0206 | Return:    101.6 | Loss: -56629396.000 | DR: 0.975 | Γ: 1.647 | π: 0.471
Ep 0207 | Return:     86.9 | Loss: -48256144.000 | DR: 0.962 | Γ: 1.699 | π: 0.471
Ep 0208 | Return:    101.2 | Loss: -57479444.000 | DR: 0.940 | Γ: 1.777 | π: 0.465
Ep 0209 | Return:     93.9 | Loss: -54986956.000 | DR: 0.963 | Γ: 1.706 | π: 0.469
Ep 0210 | Return:    105.0 | Loss: -61005104.000 | DR: 0.967 | Γ: 1.707 | π: 0.470
Ep 0211 | Return:     97.8 | Loss: -56220984.000 | DR: 0.935 | Γ: 1.727 | π: 0.473
Ep 0212 | Return:     93.9 | Loss: -53798200.000 | DR: 0.959 | Γ: 1.783 | π: 0.467
Ep 0213 | Return:     87.9 | Loss: -51393588.000 | DR: 0.965 | Γ: 1.703 | π: 0.468
Ep 0214 | Return:     99.2 | Loss: -59632968.000 | DR: 0.928 | Γ: 1.746 | π: 0.471
Ep 0215 | Return:     87.3 | Loss: -52332456.000 | DR: 0.946 | Γ: 1.792 | π: 0.462
Ep 0216 | Return:     94.9 | Loss: -57949768.000 | DR: 0.910 | Γ: 1.661 | π: 0.475
Ep 0217 | Return:     95.5 | Loss: -58456696.000 | DR: 0.971 | Γ: 1.703 | π: 0.469
Ep 0218 | Return:    104.5 | Loss: -63928948.000 | DR: 0.945 | Γ: 1.680 | π: 0.471
Ep 0219 | Return:    101.2 | Loss: -62370364.000 | DR: 0.948 | Γ: 1.724 | π: 0.470
Ep 0220 | Return:    108.2 | Loss: -55625252.000 | DR: 0.937 | Γ: 1.715 | π: 0.472
Ep 0221 | Return:     92.9 | Loss: -59951760.000 | DR: 0.946 | Γ: 1.727 | π: 0.470
Ep 0222 | Return:     92.5 | Loss: -53821388.000 | DR: 0.953 | Γ: 1.665 | π: 0.473
Ep 0223 | Return:     93.4 | Loss: -60946344.000 | DR: 0.941 | Γ: 1.687 | π: 0.475
Ep 0224 | Return:     88.0 | Loss: -49361604.000 | DR: 0.941 | Γ: 1.743 | π: 0.468
Ep 0225 | Return:    100.8 | Loss: -65023800.000 | DR: 0.967 | Γ: 1.702 | π: 0.466
Ep 0226 | Return:    104.7 | Loss: -68507080.000 | DR: 0.964 | Γ: 1.762 | π: 0.469
Ep 0227 | Return:     98.5 | Loss: -66379500.000 | DR: 0.967 | Γ: 1.771 | π: 0.466
Ep 0228 | Return:     97.6 | Loss: -64103420.000 | DR: 0.937 | Γ: 1.745 | π: 0.468
Ep 0229 | Return:     88.9 | Loss: -55122740.000 | DR: 0.974 | Γ: 1.809 | π: 0.464
Ep 0230 | Return:    109.3 | Loss: -72469304.000 | DR: 0.945 | Γ: 1.784 | π: 0.468
Ep 0231 | Return:     87.7 | Loss: -59390128.000 | DR: 0.923 | Γ: 1.725 | π: 0.472
Ep 0232 | Return:    104.7 | Loss: -70962952.000 | DR: 0.971 | Γ: 1.661 | π: 0.474
Ep 0233 | Return:     95.8 | Loss: -65307276.000 | DR: 0.953 | Γ: 1.764 | π: 0.470
Ep 0234 | Return:     88.3 | Loss: -57400692.000 | DR: 0.965 | Γ: 1.774 | π: 0.464
Ep 0235 | Return:     87.9 | Loss: -53417480.000 | DR: 0.937 | Γ: 1.745 | π: 0.472
Ep 0236 | Return:     98.3 | Loss: -69680864.000 | DR: 0.952 | Γ: 1.745 | π: 0.469
