PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Basin_Agent> python sand_humanoid_runner_2.py --basin-json basin_structure.json

Basin Prior Loaded:
  N basins: 7
    Basin 0 (navigator): p=0.342
    Basin 1 (navigator): p=0.206
    Basin 2 (navigator): p=0.344
    Basin 3 (sampler): p=0.034
    Basin 4 (sampler): p=0.023
    Basin 5 (sampler): p=0.019
    Basin 6 (sampler): p=0.033

=== Sand Humanoid Runner (with ratchet) ===
Ep 0001 | Return:    208.4 | Loss:      -1.280 | DR: 0.930 | Γ: 1.727 | π: 0.473
Ep 0103 | Return:    122.5 | Loss:     -99.494 | DR: 0.952 | Γ: 1.707 | π: 0.472
Ep 0104 | Return:    172.1 | Loss:   -1342.361 | DR: 0.958 | Γ: 1.767 | π: 0.466
Ep 0105 | Return:    108.8 | Loss:   -3086.544 | DR: 0.947 | Γ: 1.769 | π: 0.469
Ep 0106 | Return:    118.0 | Loss:   -8360.454 | DR: 0.961 | Γ: 1.705 | π: 0.469
Ep 0107 | Return:    143.0 | Loss:  -37990.117 | DR: 0.946 | Γ: 1.765 | π: 0.465
Ep 0108 | Return:    100.4 | Loss:  -76317.414 | DR: 0.965 | Γ: 1.724 | π: 0.468
Ep 0109 | Return:    124.1 | Loss: -555415.438 | DR: 0.949 | Γ: 1.720 | π: 0.469
Ep 0110 | Return:    118.7 | Loss: -682425.312 | DR: 0.942 | Γ: 1.659 | π: 0.475
Ep 0111 | Return:     95.1 | Loss: -614106.250 | DR: 0.954 | Γ: 1.702 | π: 0.469
Ep 0112 | Return:     95.4 | Loss: -1389813.000 | DR: 0.959 | Γ: 1.781 | π: 0.466
Ep 0113 | Return:    113.1 | Loss: -278564.812 | DR: 0.927 | Γ: 1.689 | π: 0.474
Ep 0114 | Return:    104.0 | Loss: -350363.906 | DR: 0.909 | Γ: 1.722 | π: 0.475
Ep 0115 | Return:    190.3 | Loss: 1140438.875 | DR: 0.939 | Γ: 1.713 | π: 0.471
Ep 0116 | Return:    232.5 | Loss:  248577.703 | DR: 0.951 | Γ: 1.722 | π: 0.471
Ep 0117 | Return:    140.2 | Loss:  138280.562 | DR: 0.953 | Γ: 1.761 | π: 0.466
Ep 0118 | Return:    198.5 | Loss: -145794.062 | DR: 0.961 | Γ: 1.732 | π: 0.467
Ep 0119 | Return:     91.2 | Loss: -722771.875 | DR: 0.951 | Γ: 1.659 | π: 0.476
Ep 0120 | Return:    180.6 | Loss: -1107482.625 | DR: 0.939 | Γ: 1.696 | π: 0.471
Ep 0121 | Return:    138.3 | Loss: -3408727.250 | DR: 0.958 | Γ: 1.794 | π: 0.466
Ep 0122 | Return:    167.1 | Loss: -2260667.000 | DR: 0.934 | Γ: 1.734 | π: 0.472
Ep 0123 | Return:    110.5 | Loss: -2934447.250 | DR: 0.949 | Γ: 1.781 | π: 0.466
Ep 0124 | Return:    174.4 | Loss: -3440956.750 | DR: 0.944 | Γ: 1.700 | π: 0.472
Ep 0125 | Return:    100.2 | Loss: -3626363.000 | DR: 0.962 | Γ: 1.698 | π: 0.470
    ↳ Ratchet triggered at ep 125: no improvement for 25 eps. Reverting to best_return = 304.5
    ↳ New lr: 2.882e-04
Ep 0126 | Return:    215.2 | Loss:    -169.433 | DR: 0.928 | Γ: 1.706 | π: 0.473
Ep 0127 | Return:     84.5 | Loss:     -54.183 | DR: 0.963 | Γ: 1.726 | π: 0.467
Ep 0128 | Return:    110.8 | Loss:    -285.948 | DR: 0.930 | Γ: 1.628 | π: 0.476
Ep 0129 | Return:    130.6 | Loss:   -1182.635 | DR: 0.943 | Γ: 1.698 | π: 0.472
Ep 0130 | Return:    118.1 | Loss:   -5933.914 | DR: 0.919 | Γ: 1.673 | π: 0.477
Ep 0131 | Return:    131.8 | Loss:  -23707.355 | DR: 0.955 | Γ: 1.707 | π: 0.470
Ep 0132 | Return:    196.7 | Loss:  -72440.750 | DR: 0.933 | Γ: 1.705 | π: 0.471
Ep 0133 | Return:    100.8 | Loss: -165055.031 | DR: 0.924 | Γ: 1.726 | π: 0.472
Ep 0134 | Return:     94.5 | Loss: -257064.938 | DR: 0.955 | Γ: 1.772 | π: 0.467
Ep 0135 | Return:    104.1 | Loss: -463470.312 | DR: 0.943 | Γ: 1.810 | π: 0.468
Ep 0136 | Return:    176.1 | Loss:  553009.062 | DR: 0.941 | Γ: 1.796 | π: 0.468
Ep 0137 | Return:    152.9 | Loss:  267807.688 | DR: 0.947 | Γ: 1.683 | π: 0.471
Ep 0138 | Return:     98.9 | Loss: -111726.320 | DR: 0.940 | Γ: 1.689 | π: 0.473
Ep 0139 | Return:    133.3 | Loss:   86681.734 | DR: 0.948 | Γ: 1.727 | π: 0.470
Ep 0140 | Return:    104.7 | Loss: -1645666.875 | DR: 0.945 | Γ: 1.640 | π: 0.474
Ep 0141 | Return:    194.7 | Loss: -839532.562 | DR: 0.947 | Γ: 1.699 | π: 0.471
Ep 0142 | Return:    127.3 | Loss: -2440892.250 | DR: 0.942 | Γ: 1.663 | π: 0.474
Ep 0143 | Return:    227.0 | Loss: -2331644.500 | DR: 0.956 | Γ: 1.705 | π: 0.469
Ep 0144 | Return:    150.9 | Loss: -2185271.500 | DR: 0.968 | Γ: 1.769 | π: 0.467
