PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\paper\Pirouette_Volume_6\doclab\experiments\Machine_Learning\fractal_mirror_learning> python wendigo_feather.py
================================================================================
WENDIGO GEODESIC SAC: Multi-Objective + Reverse Pareto + Geodesic Navigation
================================================================================

Warming up replay buffer with 10000 random steps...
Warmup complete. Starting training.

Ep 150: Score= 95 | MeanDR=0.1993 | CohGain=  4.03 | Critical=54 | GeoMap=2300 | Explore=0.471 | Top15Avg=328.5 (best=424)
Ep 151: Score=272 | MeanDR=0.4847 | CohGain= 15.98 | Critical=132 | GeoMap=2404 | Explore=0.469 | Top15Avg=328.5 (best=424)
Ep 152: Score=333 | MeanDR=0.2723 | CohGain= 21.37 | Critical=145 | GeoMap=2451 | Explore=0.467 | Top15Avg=331.8 (best=424)
Ep 153: Score=500 | MeanDR=0.2749 | CohGain= 35.62 | Critical=263 | GeoMap=2522 | Explore=0.464 | Top15Avg=346.0 (best=500)
Ep 154: Score=473 | MeanDR=0.3372 | CohGain= 17.39 | Critical=225 | GeoMap=2577 | Explore=0.462 | Top15Avg=357.7 (best=500)
Ep 155: Score=165 | MeanDR=0.1531 | CohGain=  7.01 | Critical=92 | GeoMap=2579 | Explore=0.460 | Top15Avg=357.7 (best=500)
Ep 156: Score=106 | MeanDR=0.1883 | CohGain=  3.87 | Critical=60 | GeoMap=2581 | Explore=0.458 | Top15Avg=357.7 (best=500)
Ep 157: Score=382 | MeanDR=0.2611 | CohGain= 16.94 | Critical=194 | GeoMap=2591 | Explore=0.455 | Top15Avg=362.7 (best=500)
Ep 158: Score=104 | MeanDR=0.1883 | CohGain=  4.51 | Critical=61 | GeoMap=2594 | Explore=0.453 | Top15Avg=362.7 (best=500)
Ep 159: Score= 41 | MeanDR=0.3075 | CohGain=  1.81 | Critical=24 | GeoMap=2598 | Explore=0.451 | Top15Avg=362.7 (best=500)
Ep 160: Score=187 | MeanDR=0.2975 | CohGain=  7.35 | Critical=100 | GeoMap=2609 | Explore=0.448 | Top15Avg=362.7 (best=500)
Ep 161: Score=263 | MeanDR=0.1181 | CohGain= 16.16 | Critical=136 | GeoMap=2610 | Explore=0.446 | Top15Avg=362.7 (best=500)
Ep 162: Score=114 | MeanDR=0.1631 | CohGain=  5.35 | Critical=66 | GeoMap=2613 | Explore=0.444 | Top15Avg=362.7 (best=500)
Ep 163: Score= 49 | MeanDR=0.2772 | CohGain=  1.80 | Critical=30 | GeoMap=2614 | Explore=0.442 | Top15Avg=362.7 (best=500)
Ep 164: Score=165 | MeanDR=0.2650 | CohGain=  5.26 | Critical=86 | GeoMap=2618 | Explore=0.440 | Top15Avg=362.7 (best=500)
Ep 165: Score=206 | MeanDR=0.1720 | CohGain=  8.66 | Critical=118 | GeoMap=2623 | Explore=0.437 | Top15Avg=362.7 (best=500)
Ep 166: Score=121 | MeanDR=0.1852 | CohGain=  5.87 | Critical=74 | GeoMap=2626 | Explore=0.435 | Top15Avg=362.7 (best=500)
Ep 167: Score=286 | MeanDR=0.1325 | CohGain= 16.81 | Critical=153 | GeoMap=2631 | Explore=0.433 | Top15Avg=362.7 (best=500)
Ep 168: Score=254 | MeanDR=0.1531 | CohGain= 13.75 | Critical=145 | GeoMap=2635 | Explore=0.431 | Top15Avg=362.7 (best=500)
Ep 169: Score=500 | MeanDR=0.0992 | CohGain= 42.75 | Critical=255 | GeoMap=2638 | Explore=0.429 | Top15Avg=375.4 (best=500)
