PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum.py
[Pendulum] Ep 0138 | R_raw=-1166.42 | len=200 | loss=0.075
[Pendulum] Ep 0139 | R_raw=-1179.19 | len=200 | loss=0.084
[Pendulum] Ep 0140 | R_raw=-884.37 | len=200 | loss=-0.014
[Pendulum] Ep 0141 | R_raw=-1283.05 | len=200 | loss=-0.017
[Pendulum] Ep 0142 | R_raw=-1169.91 | len=200 | loss=0.059
[Pendulum] Ep 0143 | R_raw=-790.83 | len=200 | loss=0.041
[Pendulum] Ep 0144 | R_raw=-1053.15 | len=200 | loss=-0.057
[Pendulum] Ep 0145 | R_raw=-1494.88 | len=200 | loss=0.003
[Pendulum] Ep 0146 | R_raw=-900.40 | len=200 | loss=0.013
[Pendulum] Ep 0147 | R_raw=-1610.77 | len=200 | loss=-0.081
[Pendulum] Ep 0148 | R_raw=-1048.90 | len=200 | loss=-0.052
[Pendulum] Ep 0149 | R_raw=-1594.53 | len=200 | loss=-0.099
[Pendulum] Ep 0150 | R_raw=-1674.80 | len=200 | loss=-0.021
[Pendulum] Ep 0151 | R_raw=-1496.40 | len=200 | loss=0.033
[Pendulum] Ep 0152 | R_raw=-1412.25 | len=200 | loss=-0.005
[Pendulum] Ep 0153 | R_raw=-1178.74 | len=200 | loss=0.036
[Pendulum] Ep 0154 | R_raw=-1745.88 | len=200 | loss=0.095
[Pendulum] Ep 0155 | R_raw=-1529.09 | len=200 | loss=-0.035
[Pendulum] Ep 0156 | R_raw=-1152.72 | len=200 | loss=-0.020
[Pendulum] Ep 0157 | R_raw=-1645.92 | len=200 | loss=0.010
[Pendulum] Ep 0158 | R_raw=-1538.50 | len=200 | loss=-0.003
[Pendulum] Ep 0159 | R_raw=-1643.61 | len=200 | loss=-0.037
[Pendulum] Ep 0160 | R_raw=-1580.83 | len=200 | loss=0.087
[Pendulum] Ep 0161 | R_raw=-1506.39 | len=200 | loss=0.030
[Pendulum] Ep 0162 | R_raw=-1339.57 | len=200 | loss=-0.044
[Pendulum] Ep 0163 | R_raw=-1197.44 | len=200 | loss=0.073
[Pendulum] Ep 0164 | R_raw=-1231.15 | len=200 | loss=-0.051
[Pendulum] Ep 0165 | R_raw=-1734.59 | len=200 | loss=0.069
[Pendulum] Ep 0166 | R_raw=-1211.61 | len=200 | loss=0.040
[Pendulum] Ep 0167 | R_raw=-1446.15 | len=200 | loss=0.043
[Pendulum] Ep 0168 | R_raw=-1313.07 | len=200 | loss=-0.023
[Pendulum] Ep 0169 | R_raw=-1388.25 | len=200 | loss=-0.085
[Pendulum] Ep 0170 | R_raw=-1125.93 | len=200 | loss=-0.070
[Pendulum] Ep 0171 | R_raw=-1802.71 | len=200 | loss=0.034
[Pendulum] Ep 0172 | R_raw=-1350.30 | len=200 | loss=-0.041
[Pendulum] Ep 0173 | R_raw=-1630.95 | len=200 | loss=-0.044
[Pendulum] Ep 0174 | R_raw=-1184.35 | len=200 | loss=-0.041
[Pendulum] Ep 0175 | R_raw=-1733.16 | len=200 | loss=-0.012
[Pendulum] Ep 0176 | R_raw=-1085.27 | len=200 | loss=0.015
[Pendulum] Ep 0177 | R_raw=-1333.85 | len=200 | loss=0.114
[Pendulum] Ep 0178 | R_raw=-1387.63 | len=200 | loss=-0.038
[Pendulum] Ep 0179 | R_raw=-1172.48 | len=200 | loss=-0.070
[Pendulum] Ep 0180 | R_raw=-1273.75 | len=200 | loss=-0.074
[Pendulum] Ep 0181 | R_raw=-1745.41 | len=200 | loss=-0.061
[Pendulum] Ep 0182 | R_raw=-883.15 | len=200 | loss=-0.055
[Pendulum] Ep 0183 | R_raw=-1138.13 | len=200 | loss=-0.071
[Pendulum] Ep 0184 | R_raw=-969.70 | len=200 | loss=0.010
[Pendulum] Ep 0185 | R_raw=-1256.20 | len=200 | loss=-0.055
[Pendulum] Ep 0186 | R_raw=-1474.30 | len=200 | loss=-0.019
[Pendulum] Ep 0187 | R_raw=-1291.10 | len=200 | loss=0.001
[Pendulum] Ep 0188 | R_raw=-1703.46 | len=200 | loss=-0.021
[Pendulum] Ep 0189 | R_raw=-1382.22 | len=200 | loss=0.011
[Pendulum] Ep 0190 | R_raw=-1299.31 | len=200 | loss=-0.018
[Pendulum] Ep 0191 | R_raw=-1106.13 | len=200 | loss=0.026
[Pendulum] Ep 0192 | R_raw=-1077.90 | len=200 | loss=-0.158
[Pendulum] Ep 0193 | R_raw=-1018.84 | len=200 | loss=0.010
[Pendulum] Ep 0194 | R_raw=-1427.62 | len=200 | loss=0.001
[Pendulum] Ep 0195 | R_raw=-804.59 | len=200 | loss=0.060
[Pendulum] Ep 0196 | R_raw=-1061.90 | len=200 | loss=0.057
[Pendulum] Ep 0197 | R_raw=-1377.79 | len=200 | loss=-0.023
[Pendulum] Ep 0198 | R_raw=-968.08 | len=200 | loss=-0.016
[Pendulum] Ep 0199 | R_raw=-1472.65 | len=200 | loss=0.047
[Pendulum] Ep 0200 | R_raw=-1226.96 | len=200 | loss=0.007
[Pendulum] Ep 0201 | R_raw=-866.34 | len=200 | loss=-0.057
[Pendulum] Ep 0202 | R_raw=-1075.00 | len=200 | loss=-0.001
[Pendulum] Ep 0203 | R_raw=-662.92 | len=200 | loss=-0.072
[Pendulum] Ep 0204 | R_raw=-868.22 | len=200 | loss=0.001
[Pendulum] Ep 0205 | R_raw=-1341.11 | len=200 | loss=-0.016
[Pendulum] Ep 0206 | R_raw=-1094.96 | len=200 | loss=-0.036
[Pendulum] Ep 0207 | R_raw=-1110.06 | len=200 | loss=-0.014
[Pendulum] Ep 0208 | R_raw=-1170.36 | len=200 | loss=-0.011
[Pendulum] Ep 0209 | R_raw=-1453.42 | len=200 | loss=-0.075
[Pendulum] Ep 0210 | R_raw=-1605.33 | len=200 | loss=0.036
[Pendulum] Ep 0211 | R_raw=-1561.56 | len=200 | loss=0.004
[Pendulum] Ep 0212 | R_raw=-1029.99 | len=200 | loss=-0.080
[Pendulum] Ep 0213 | R_raw=-1666.21 | len=200 | loss=-0.016
[Pendulum] Ep 0214 | R_raw=-1144.08 | len=200 | loss=0.025
[Pendulum] Ep 0215 | R_raw=-1353.43 | len=200 | loss=-0.063
[Pendulum] Ep 0216 | R_raw=-958.22 | len=200 | loss=-0.051
[Pendulum] Ep 0217 | R_raw=-962.19 | len=200 | loss=0.060
[Pendulum] Ep 0218 | R_raw=-1032.93 | len=200 | loss=-0.122
[Pendulum] Ep 0219 | R_raw=-998.80 | len=200 | loss=-0.003
[Pendulum] Ep 0220 | R_raw=-1757.39 | len=200 | loss=-0.062
[Pendulum] Ep 0221 | R_raw=-1054.43 | len=200 | loss=0.001
[Pendulum] Ep 0222 | R_raw=-1170.10 | len=200 | loss=0.020
[Pendulum] Ep 0223 | R_raw=-1589.57 | len=200 | loss=-0.034
