PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi.py
[Pendulum-v1] Ep 0300 | R=-1624.67 | len=200 | loss=-0.047
PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi.py
[CartPole-v1] Ep 0001 | R=   9.00 | len=  9 | loss=-0.022
[CartPole-v1] Ep 0002 | R=  35.00 | len= 35 | loss=0.038
[CartPole-v1] Ep 0003 | R=  13.00 | len= 13 | loss=0.007
[CartPole-v1] Ep 0004 | R=  12.00 | len= 12 | loss=-0.061
[CartPole-v1] Ep 0005 | R=  20.00 | len= 20 | loss=0.002
[CartPole-v1] Ep 0006 | R=  31.00 | len= 31 | loss=0.035
[CartPole-v1] Ep 0007 | R=  18.00 | len= 18 | loss=0.015
[CartPole-v1] Ep 0008 | R=  38.00 | len= 38 | loss=-0.107
[CartPole-v1] Ep 0009 | R=  86.00 | len= 86 | loss=-0.026
[CartPole-v1] Ep 0010 | R=  55.00 | len= 55 | loss=0.021
[CartPole-v1] Ep 0011 | R=  24.00 | len= 24 | loss=-0.010
[CartPole-v1] Ep 0012 | R=  12.00 | len= 12 | loss=0.032
[CartPole-v1] Ep 0013 | R=  45.00 | len= 45 | loss=-0.023
[CartPole-v1] Ep 0014 | R=  19.00 | len= 19 | loss=-0.046
[CartPole-v1] Ep 0015 | R=  42.00 | len= 42 | loss=0.070
[CartPole-v1] Ep 0016 | R=  34.00 | len= 34 | loss=-0.010
[CartPole-v1] Ep 0017 | R=  19.00 | len= 19 | loss=-0.022
[CartPole-v1] Ep 0018 | R=  19.00 | len= 19 | loss=-0.043
[CartPole-v1] Ep 0019 | R=  33.00 | len= 33 | loss=-0.045
[CartPole-v1] Ep 0020 | R= 101.00 | len=101 | loss=0.061
[CartPole-v1] Ep 0021 | R=  28.00 | len= 28 | loss=-0.011
[CartPole-v1] Ep 0022 | R=  40.00 | len= 40 | loss=-0.064
[CartPole-v1] Ep 0023 | R=  38.00 | len= 38 | loss=-0.007
[CartPole-v1] Ep 0024 | R=  40.00 | len= 40 | loss=-0.028
[CartPole-v1] Ep 0025 | R=  32.00 | len= 32 | loss=0.033
[CartPole-v1] Ep 0026 | R=  65.00 | len= 65 | loss=0.006
[CartPole-v1] Ep 0027 | R=  46.00 | len= 46 | loss=0.058
[CartPole-v1] Ep 0028 | R= 120.00 | len=120 | loss=-0.036
[CartPole-v1] Ep 0029 | R= 106.00 | len=106 | loss=0.011
[CartPole-v1] Ep 0030 | R=  96.00 | len= 96 | loss=0.035
[CartPole-v1] Ep 0031 | R=  54.00 | len= 54 | loss=-0.008
[CartPole-v1] Ep 0032 | R=  99.00 | len= 99 | loss=0.014
[CartPole-v1] Ep 0033 | R=  12.00 | len= 12 | loss=0.190
[CartPole-v1] Ep 0034 | R=  44.00 | len= 44 | loss=-0.031
[CartPole-v1] Ep 0035 | R=  36.00 | len= 36 | loss=-0.027
[CartPole-v1] Ep 0036 | R=  26.00 | len= 26 | loss=-0.017
[CartPole-v1] Ep 0037 | R=  23.00 | len= 23 | loss=0.049
[CartPole-v1] Ep 0038 | R=  24.00 | len= 24 | loss=0.028
