PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_multi_2.py
[Pendulum-v1] Ep 0030 | R_raw=-1376.45 | len=200 | loss=-0.071
[Pendulum-v1] Ep 0031 | R_raw=-1321.89 | len=200 | loss=-0.014
[Pendulum-v1] Ep 0032 | R_raw=-1375.42 | len=200 | loss=0.047
[Pendulum-v1] Ep 0033 | R_raw=-1322.80 | len=200 | loss=0.095
[Pendulum-v1] Ep 0034 | R_raw=-1126.41 | len=200 | loss=-0.133
[Pendulum-v1] Ep 0035 | R_raw=-938.55 | len=200 | loss=0.052
[Pendulum-v1] Ep 0036 | R_raw=-1139.23 | len=200 | loss=-0.067
[Pendulum-v1] Ep 0037 | R_raw=-1205.60 | len=200 | loss=-0.127
[Pendulum-v1] Ep 0038 | R_raw=-1145.30 | len=200 | loss=-0.053
[Pendulum-v1] Ep 0039 | R_raw=-1239.67 | len=200 | loss=-0.101
[Pendulum-v1] Ep 0040 | R_raw=-1309.43 | len=200 | loss=-0.177
[Pendulum-v1] Ep 0041 | R_raw=-1028.46 | len=200 | loss=0.013
[Pendulum-v1] Ep 0042 | R_raw=-1060.55 | len=200 | loss=-0.175
[Pendulum-v1] Ep 0043 | R_raw=-1101.76 | len=200 | loss=0.041
[Pendulum-v1] Ep 0044 | R_raw=-1188.10 | len=200 | loss=-0.107
[Pendulum-v1] Ep 0045 | R_raw=-1279.03 | len=200 | loss=-0.062
[Pendulum-v1] Ep 0046 | R_raw=-1274.87 | len=200 | loss=-0.237
[Pendulum-v1] Ep 0047 | R_raw=-1265.07 | len=200 | loss=-0.288
[Pendulum-v1] Ep 0048 | R_raw=-1286.64 | len=200 | loss=-0.167
[Pendulum-v1] Ep 0049 | R_raw=-1085.92 | len=200 | loss=0.055
[Pendulum-v1] Ep 0050 | R_raw=-1221.89 | len=200 | loss=-0.043
[Pendulum-v1] Ep 0051 | R_raw=-1321.55 | len=200 | loss=0.013
[Pendulum-v1] Ep 0052 | R_raw=-1151.49 | len=200 | loss=-0.223
[Pendulum-v1] Ep 0053 | R_raw=-1359.39 | len=200 | loss=0.045
[Pendulum-v1] Ep 0054 | R_raw=-1324.52 | len=200 | loss=-0.144
