PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_cartpole.py
Ep 0355 | R= 500 | len=500 | loss=0.016
Ep 0356 | R= 500 | len=500 | loss=0.004
Ep 0357 | R= 500 | len=500 | loss=-0.008
Ep 0358 | R= 500 | len=500 | loss=-0.023
Ep 0359 | R= 500 | len=500 | loss=0.011
Ep 0360 | R= 500 | len=500 | loss=0.017
Ep 0361 | R= 500 | len=500 | loss=-0.019
Ep 0362 | R= 500 | len=500 | loss=0.008
Ep 0363 | R= 500 | len=500 | loss=0.015
Ep 0364 | R= 500 | len=500 | loss=-0.004
Ep 0365 | R= 500 | len=500 | loss=-0.002
Ep 0366 | R= 500 | len=500 | loss=-0.013
Ep 0367 | R= 500 | len=500 | loss=0.002
Ep 0368 | R= 500 | len=500 | loss=0.015
Ep 0369 | R= 500 | len=500 | loss=-0.011
Ep 0370 | R= 229 | len=229 | loss=-0.009
Ep 0371 | R= 500 | len=500 | loss=0.012
Ep 0372 | R= 500 | len=500 | loss=-0.000
Ep 0373 | R= 500 | len=500 | loss=-0.011
Ep 0374 | R= 500 | len=500 | loss=-0.022
Ep 0375 | R= 500 | len=500 | loss=-0.011
Ep 0376 | R= 500 | len=500 | loss=-0.013
Ep 0377 | R= 500 | len=500 | loss=-0.000
Ep 0378 | R= 500 | len=500 | loss=0.013
Ep 0379 | R= 500 | len=500 | loss=0.004
Ep 0380 | R= 500 | len=500 | loss=0.005
Ep 0381 | R= 500 | len=500 | loss=0.011
Ep 0382 | R= 500 | len=500 | loss=-0.013
Ep 0383 | R= 500 | len=500 | loss=-0.045
Ep 0384 | R= 500 | len=500 | loss=0.032
Ep 0385 | R= 500 | len=500 | loss=-0.023
Ep 0386 | R= 500 | len=500 | loss=0.008
Ep 0387 | R= 500 | len=500 | loss=-0.013
Ep 0388 | R= 500 | len=500 | loss=-0.017
Ep 0389 | R= 500 | len=500 | loss=-0.015
Ep 0390 | R= 500 | len=500 | loss=0.008
Ep 0391 | R= 500 | len=500 | loss=-0.017
Ep 0392 | R= 500 | len=500 | loss=0.001
Ep 0393 | R= 500 | len=500 | loss=-0.002
Ep 0394 | R= 500 | len=500 | loss=-0.023
Ep 0395 | R= 500 | len=500 | loss=0.012
Ep 0396 | R= 500 | len=500 | loss=0.011
Ep 0397 | R= 500 | len=500 | loss=-0.008
Ep 0398 | R= 500 | len=500 | loss=-0.009
Ep 0399 | R= 500 | len=500 | loss=0.017
Ep 0400 | R= 500 | len=500 | loss=-0.011
Ep 0401 | R= 500 | len=500 | loss=-0.009
Ep 0402 | R= 500 | len=500 | loss=0.001
Ep 0403 | R= 500 | len=500 | loss=0.007
Ep 0404 | R= 500 | len=500 | loss=-0.024
Ep 0405 | R= 500 | len=500 | loss=-0.011
Ep 0406 | R= 500 | len=500 | loss=-0.008
Ep 0407 | R= 500 | len=500 | loss=0.012
Ep 0408 | R= 500 | len=500 | loss=-0.004
Ep 0409 | R= 500 | len=500 | loss=0.002
Ep 0410 | R= 500 | len=500 | loss=0.011
Ep 0411 | R= 500 | len=500 | loss=0.003
Ep 0412 | R= 500 | len=500 | loss=-0.015
Ep 0413 | R= 500 | len=500 | loss=-0.001
Ep 0414 | R= 500 | len=500 | loss=-0.010
Ep 0415 | R= 500 | len=500 | loss=0.003
Ep 0416 | R= 500 | len=500 | loss=0.013
Ep 0417 | R= 500 | len=500 | loss=-0.001
Ep 0418 | R= 500 | len=500 | loss=0.006
Ep 0419 | R= 500 | len=500 | loss=0.021
Ep 0420 | R= 500 | len=500 | loss=0.002
Ep 0421 | R= 500 | len=500 | loss=0.029
Ep 0422 | R= 500 | len=500 | loss=0.008
Ep 0423 | R= 500 | len=500 | loss=-0.023
Ep 0424 | R= 500 | len=500 | loss=-0.030
Ep 0425 | R= 500 | len=500 | loss=-0.032
Ep 0426 | R= 500 | len=500 | loss=-0.032
Ep 0427 | R= 500 | len=500 | loss=0.022
Ep 0428 | R= 500 | len=500 | loss=-0.023
Ep 0429 | R= 500 | len=500 | loss=0.003
Ep 0430 | R= 500 | len=500 | loss=-0.038
Ep 0431 | R= 500 | len=500 | loss=-0.027
Ep 0432 | R= 500 | len=500 | loss=-0.002
Ep 0433 | R= 500 | len=500 | loss=-0.022
Ep 0434 | R= 500 | len=500 | loss=-0.013
Ep 0435 | R= 500 | len=500 | loss=0.004
Ep 0436 | R= 500 | len=500 | loss=0.021
Ep 0437 | R= 500 | len=500 | loss=-0.008
Ep 0438 | R= 500 | len=500 | loss=0.031
Ep 0439 | R= 500 | len=500 | loss=-0.008
Ep 0440 | R= 500 | len=500 | loss=0.025
Ep 0441 | R= 500 | len=500 | loss=0.008
Ep 0442 | R= 500 | len=500 | loss=-0.010
Ep 0443 | R= 500 | len=500 | loss=-0.020
Ep 0444 | R= 500 | len=500 | loss=0.012
Ep 0445 | R= 500 | len=500 | loss=0.006
Ep 0446 | R= 500 | len=500 | loss=0.025
Ep 0447 | R= 500 | len=500 | loss=0.004
Ep 0448 | R= 500 | len=500 | loss=-0.012
Ep 0449 | R= 500 | len=500 | loss=0.002
Ep 0450 | R= 500 | len=500 | loss=0.020
Ep 0451 | R= 500 | len=500 | loss=-0.012
Ep 0452 | R= 500 | len=500 | loss=-0.030
Ep 0453 | R= 500 | len=500 | loss=-0.014
Ep 0454 | R= 500 | len=500 | loss=0.038
Ep 0455 | R= 500 | len=500 | loss=-0.007
Ep 0456 | R= 500 | len=500 | loss=0.004
Ep 0457 | R= 500 | len=500 | loss=-0.006
Ep 0458 | R= 500 | len=500 | loss=0.029
