PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_minimal.py
Using device: cuda
[Pendulum-Min] Ep 0094 | R_raw=-1112.81 | len=200 | actor_loss=0.049 | critic_loss=51799.328
[Pendulum-Min] Ep 0095 | R_raw=-1183.28 | len=200 | actor_loss=0.028 | critic_loss=61683.793
[Pendulum-Min] Ep 0096 | R_raw=-1001.40 | len=200 | actor_loss=0.004 | critic_loss=48076.898
[Pendulum-Min] Ep 0097 | R_raw=-1133.98 | len=200 | actor_loss=0.012 | critic_loss=61815.133
[Pendulum-Min] Ep 0098 | R_raw=-1424.55 | len=200 | actor_loss=-0.104 | critic_loss=82975.352
[Pendulum-Min] Ep 0099 | R_raw=-1209.90 | len=200 | actor_loss=-0.078 | critic_loss=62906.348
[Pendulum-Min] Ep 0100 | R_raw=-1186.29 | len=200 | actor_loss=0.043 | critic_loss=67876.727
[Pendulum-Min] Ep 0101 | R_raw=-1203.69 | len=200 | actor_loss=-0.076 | critic_loss=62042.555
[Pendulum-Min] Ep 0102 | R_raw=-1010.98 | len=200 | actor_loss=-0.060 | critic_loss=47833.758
[Pendulum-Min] Ep 0103 | R_raw=-1105.85 | len=200 | actor_loss=-0.080 | critic_loss=55075.340
[Pendulum-Min] Ep 0104 | R_raw=-1211.13 | len=200 | actor_loss=-0.061 | critic_loss=62226.039
[Pendulum-Min] Ep 0105 | R_raw=-857.41 | len=200 | actor_loss=-0.013 | critic_loss=32821.309
[Pendulum-Min] Ep 0106 | R_raw=-1322.92 | len=200 | actor_loss=-0.015 | critic_loss=72713.258
[Pendulum-Min] Ep 0107 | R_raw=-1020.29 | len=200 | actor_loss=-0.038 | critic_loss=48828.832
[Pendulum-Min] Ep 0108 | R_raw=-1377.17 | len=200 | actor_loss=0.020 | critic_loss=79690.102
[Pendulum-Min] Ep 0109 | R_raw=-1346.23 | len=200 | actor_loss=-0.035 | critic_loss=79804.547
[Pendulum-Min] Ep 0110 | R_raw=-1240.79 | len=200 | actor_loss=0.037 | critic_loss=65334.898
[Pendulum-Min] Ep 0111 | R_raw=-1208.94 | len=200 | actor_loss=-0.030 | critic_loss=71413.438
[Pendulum-Min] Ep 0112 | R_raw=-1138.48 | len=200 | actor_loss=0.021 | critic_loss=59916.988
[Pendulum-Min] Ep 0113 | R_raw=-1735.56 | len=200 | actor_loss=0.038 | critic_loss=141902.359
[Pendulum-Min] Ep 0114 | R_raw=-1232.50 | len=200 | actor_loss=-0.036 | critic_loss=67615.164
