PS C:\Users\keatw\OneDrive\Documents\Doclab\Big_Datasets\target\Pirouette_Volume_7\doclab\experiments\Machine_Learning\Skogsvätt_Agent> python Skogsvatt_pendulum_elite_2.py
Using device: cuda
[INIT] best_eval=-1261.30

=== Generation 1/50 ===
[Train] Gen 3 Ep 16/30 GlobalEp 76 | R_raw=-1025.93 | len=200 | actor_loss=0.026 | critic_loss=51028.383
[Train] Gen 3 Ep 17/30 GlobalEp 77 | R_raw=-1214.36 | len=200 | actor_loss=0.046 | critic_loss=65389.789
[Train] Gen 3 Ep 18/30 GlobalEp 78 | R_raw=-978.67 | len=200 | actor_loss=0.017 | critic_loss=40871.758
[Train] Gen 3 Ep 19/30 GlobalEp 79 | R_raw=-958.40 | len=200 | actor_loss=0.032 | critic_loss=39564.516
[Train] Gen 3 Ep 20/30 GlobalEp 80 | R_raw=-951.53 | len=200 | actor_loss=0.015 | critic_loss=38375.945
[Train] Gen 3 Ep 21/30 GlobalEp 81 | R_raw=-941.36 | len=200 | actor_loss=-0.053 | critic_loss=47465.879
[Train] Gen 3 Ep 22/30 GlobalEp 82 | R_raw=-1287.18 | len=200 | actor_loss=-0.074 | critic_loss=74795.930
[Train] Gen 3 Ep 23/30 GlobalEp 83 | R_raw=-978.60 | len=200 | actor_loss=-0.015 | critic_loss=44882.629
[Train] Gen 3 Ep 24/30 GlobalEp 84 | R_raw=-1162.18 | len=200 | actor_loss=-0.040 | critic_loss=63028.098
[Train] Gen 3 Ep 25/30 GlobalEp 85 | R_raw=-887.31 | len=200 | actor_loss=-0.094 | critic_loss=37244.395
[Train] Gen 3 Ep 26/30 GlobalEp 86 | R_raw=-1074.53 | len=200 | actor_loss=-0.054 | critic_loss=58893.965
[Train] Gen 3 Ep 27/30 GlobalEp 87 | R_raw=-1188.69 | len=200 | actor_loss=-0.062 | critic_loss=66213.742
[Train] Gen 3 Ep 28/30 GlobalEp 88 | R_raw=-950.22 | len=200 | actor_loss=-0.047 | critic_loss=43228.039
[Train] Gen 3 Ep 29/30 GlobalEp 89 | R_raw=-872.26 | len=200 | actor_loss=-0.004 | critic_loss=39599.910
[Train] Gen 3 Ep 30/30 GlobalEp 90 | R_raw=-1293.79 | len=200 | actor_loss=0.041 | critic_loss=78110.352
[Eval] Gen 3 | avg_train=-1108.10 | avg_eval=-1297.93 | best_eval=-1261.30
[REJECT] Generation discarded; keeping previous averaged elite.

=== Generation 4/50 ===
[Train] Gen 4 Ep 1/30 GlobalEp 91 | R_raw=-1169.34 | len=200 | actor_loss=0.035 | critic_loss=63842.355
[Train] Gen 4 Ep 2/30 GlobalEp 92 | R_raw=-1637.75 | len=200 | actor_loss=0.013 | critic_loss=125877.094
