mjd,residual_us,pulsar
53968.06770623099,1.2035586046120366,B1855+09
53968.06770622697,1.2853777645236837,B1855+09
53968.06770628687,3.985410041608038,B1855+09
53968.067706286405,1.3671969244353308,B1855+09
53454.478662153706,-1.0464682928037632,B1855+09
53454.47866214969,1.4490160841330524,B1855+09
53454.478662209534,2.103569363329594,B1855+09
53454.47866220904,-1.2919257725024662,B1855+09
53454.47866221034,4.59905374026641,B1855+09
55758.16161938322,1.6535639849769794,B1855+09
55758.161619379185,2.589370626947986,B1855+09
55758.161619439,-0.20782190397081587,B1855+09
55758.161619438564,1.1626490252544839,B1855+09
55758.16161943981,0.4569587706533967,B1855+09
54862.583405094905,3.4331307130871984,B1855+09
54862.58340509083,0.8762819651907712,B1855+09
54862.58340515067,0.7126436453253998,B1855+09
54862.583405150224,1.7558379344671422,B1855+09
54862.58340515146,1.3467421348037136,B1855+09
54862.593911633994,5.314971391538985,B1855+09
54862.59391162993,2.7990322236088927,B1855+09
54862.593911689764,2.6149391137603493,B1855+09
54862.59391168929,1.142194234972003,B1855+09
54862.59391169058,5.764976771168757,B1855+09
55205.66602367731,2.6251665090108256,B1855+09
55205.666023673264,2.553574744062665,B1855+09
55205.666023733094,1.6024270097513904,B1855+09
55205.66602373267,4.5070071876481865,B1855+09
55205.66602373389,2.154706339351485,B1855+09
54092.74243264849,1.653563984185357,B1855+09
54092.74243264445,1.0603750748046565,B1855+09
54092.74243270431,0.876281964996853,B1855+09
54092.74243270389,2.6149391131816646,B1855+09
54092.74243270515,2.962670542818627,B1855+09
53451.50910898904,0.6717340650865856,B1855+09
53451.50910898499,-0.4328245935566357,B1855+09
53451.50910904482,-1.2101066126018656,B1855+09
53451.509109044426,3.1263088620715216,B1855+09
53451.509109045655,2.3490268430262917,B1855+09
53420.54892705192,0.05809036583983453,B1855+09
53420.54892704789,1.039920284625071,B1855+09
53420.54892710772,0.05809036583983453,B1855+09
53420.54892710728,1.4490160841189195,B1855+09
53420.54892710861,8.976378794805731,B1855+09
53420.559379968974,1.162649024473229,B1855+09
53420.55937996492,0.9171915447769193,B1855+09
53420.55938002476,-0.06463837400832023,B1855+09
53420.559380024286,-1.7828407318824893,B1855+09
53420.559380025596,4.435415420424028,B1855+09
54135.582798908996,1.7353831441213075,B1855+09
54135.58279890495,1.6126544042479267,B1855+09
54135.58279896479,1.3262873445433725,B1855+09
54135.58279896433,1.0194654948599213,B1855+09
54135.58279896559,2.3899364234460028,B1855+09
53453.498875140074,-2.232846111346866,B1855+09
53453.498875136036,-1.7828407318993704,B1855+09
53453.4988751959,0.5490053252376528,B1855+09
53453.49887519547,2.7172130625755866,B1855+09
53453.49887519671,2.226298103178318,B1855+09
53448.47370649659,2.2672076831248154,B1855+09
53448.47370649256,3.003580122219654,B1855+09
53448.47370655237,0.8762819648345656,B1855+09
53448.47370655196,3.9035908811133453,B1855+09
53448.473706553144,-1.3737449323996627,B1855+09
53448.484150225544,-0.1873671138579792,B1855+09
53448.48415022152,1.2035586044322752,B1855+09
53448.48415028136,-0.31009585370711923,B1855+09
53448.484150280936,2.103569363325969,B1855+09
53448.48415028221,4.394505840509917,B1855+09
53750.62273412667,1.6944735639760038,B1855+09
53750.62273412265,3.4535855019664607,B1855+09
53750.62273418248,1.8581118837890698,B1855+09
53750.62273418199,-1.5373832523320448,B1855+09
53603.05165988675,2.921760962450055,B1855+09
53603.051659882694,0.8353723849219719,B1855+09
53603.05165994257,1.9399310436133097,B1855+09
53603.051659942146,3.4535855018199584,B1855+09
53603.051659943405,2.962670542401586,B1855+09
53603.062114987035,0.30354784555206926,B1855+09
53603.062114983026,1.9399310436133157,B1855+09
53603.06211504287,-0.10554795396324244,B1855+09
53603.06211504245,2.0626597834679092,B1855+09
53603.06211504371,1.5308352440980042,B1855+09
54008.95375006292,1.2444681845824863,B1855+09
54008.95375005892,2.799032222922052,B1855+09
54008.95375011876,1.0399202848009645,B1855+09
54008.953750118315,0.5490053253253123,B1855+09
53358.767899669576,-1.0055587128263135,B1855+09
53358.76789966556,0.22172868563343617,B1855+09
53358.76789972543,1.6535639838364777,B1855+09
53358.76789972498,0.8762819648119694,B1855+09
53358.767899726256,2.430846002860986,B1855+09
53358.77847360306,0.8762819648119721,B1855+09
53358.778473599064,4.026319620858672,B1855+09
53358.778473658895,1.039920284606606,B1855+09
53358.778473658465,2.1853885231690424,B1855+09
53358.77847365964,-5.096516707692161,B1855+09
54569.40954502321,1.8990214641893017,B1855+09
54569.40954501917,2.59448432355852,B1855+09
54569.409545079,1.796747514282064,B1855+09
54569.40954507855,2.9217609632616814,B1855+09
54569.40954507975,-1.1691970330278365,B1855+09
54569.42000565777,5.417245340998303,B1855+09
54569.4200056537,2.9626705432245855,B1855+09
54569.4200057135,0.26263826567349546,B1855+09
54569.42000571305,0.7740080152096867,B1855+09
54569.420005714266,-1.4351093027866595,B1855+09
55391.18642937275,2.0626597845281363,B1855+09
55391.18642936877,7.667272240768729,B1855+09
55391.186429428526,0.3853670056532138,B1855+09
55391.18642942808,1.387651714980911,B1855+09
55391.18642942937,5.969524671907528,B1855+09
55358.26045104107,3.3308567636459414,B1855+09
55358.26045103709,8.986606194798703,B1855+09
55358.260451096816,-1.5476106480355547,B1855+09
55358.260451096394,1.3876517149677774,B1855+09
55358.26045109764,1.6331091948008087,B1855+09
53715.73062824026,3.3308567620732528,B1855+09
53715.73062823625,5.826341139197476,B1855+09
53715.73062829606,2.1444789434404257,B1855+09
53715.730628295605,0.6717340651376054,B1855+09
53715.730628296864,0.3444574255147564,B1855+09
53715.74106808958,1.9399310436761508,B1855+09
53715.74106808553,0.6308244851847512,B1855+09
53715.741068145406,2.0217502035818633,B1855+09
53715.74106814498,3.0444897024032693,B1855+09
